,Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",Unnamed: 3,file,"Amount Outstandingin NGN",Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0,Amount Outstanding (US$M),Amount Outstanding (NM),"Amount Outstanding(US$M)","Amount Outstanding(NM)",% of Total,Unnamed: 5,Unnamed: 2,"AmountOutstanding",Unnamed: 8,Unnamed: 10,"AmountOutstanding(NM)"
4,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,% of Total,,,,,,,,,,,
5,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,% of Total,,,,,,,,,,,
6,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,A.,,,,,,,,,,,
7,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,A.,,,,,,,,,,,
8,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,Total External Debt,,,,,,,,,,,
9,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,otal External Debt,,,,,,,,,,,
10,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"25,609.63",,,,,,,,,,,
11,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"25,609.63",,,,,,,,,,,
12,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"7,860,875.93",,,,,,,,,,,
13,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"7,860,875.93",,,,,,,,,,,
14,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,31.51%,,,,,,,,,,,
15,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,31.51%,,,,,,,,,,,
16,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,,,,,,,,,,,,
17,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,,,,,,,,,,,,
18,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,FGN + States & FCT only,,,,,,,,,,,
19,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,FGN + States & FCT only,,,,,,,,,,,
20,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"25,609.63",,,,,,,,,,,
21,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"25,609.63",,,,,,,,,,,
22,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"7,860,875.93",,,,,,,,,,,
23,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"7,860,875.93",,,,,,,,,,,
24,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,31.51%,,,,,,,,,,,
25,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,31.51%,,,,,,,,,,,
26,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,B.,,,,,,,,,,,
27,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,B.,,,,,,,,,,,
28,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,Total Domestic Debt,,,,,,,,,,,
29,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,otal Domestic Debt,,,,,,,,,,,
30,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"55,664.46",,,,,,,,,,,
31,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"55,664.46",,,,,,,,,,,
32,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"17,086,204.66",,,,,,,,,,,
33,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,"17,086,204.66",,,,,,,,,,,
34,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,68.49%,,,,,,,,,,,
35,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,68.49%,,,,,,,,,,,
36,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,c.,,,,,,,,,,,
37,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,c.,,,,,,,,,,,
38,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,Total Public Debt(A+B),,,,,,,,,,,
